Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,349
Bangkok,13718
Bueng Kan,≤100
Buriram,353
Chachoengsao,325
Chai Nat,≤100
Chaiyaphum,237
Chanthaburi,219
Chiang Mai,917
Chiang Rai,428
Chon Buri,1159
Chumphon,384
Kalasin,221
Kamphaeng Phet,192
Kanchanaburi,340
Khon Kaen,551
Krabi,542
Lampang,255
Lamphun,148
Loei,167
Lop Buri,222
Mae Hong Son,≤100
Maha Sarakham,250
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,360
Nakhon Phanom,163
Nakhon Ratchasima,770
Nakhon Sawan,319
Nakhon Si Thammarat,4237
Nan,126
Narathiwat,192
Nong Bua Lam Phu,107
Nong Khai,167
Nonthaburi,865
Pathum Thani,898
Pattani,237
Phangnga,404
Phatthalung,330
Phayao,141
Phetchabun,268
Phetchaburi,233
Phichit,234
Phitsanulok,1173
Phrae,134
Phuket,1318
Prachin Buri,200
Prachuap Khiri Khan,415
Ranong,152
Ratchaburi,286
Rayong,429
Roi Et,303
Sa Kaeo,149
Sakon Nakhon,261
Samut Prakan,744
Samut Sakhon,353
Samut Songkhram,≤100
Saraburi,256
Satun,163
Sing Buri,≤100
Sisaket,326
Songkhla,1308
Sukhothai,181
Suphan Buri,240
Surat Thani,6874
Surin,331
Tak,162
Trang,390
Trat,≤100
Ubon Ratchathani,544
Udon Thani,403
Unknown,≤100
Uthai Thani,≤100
Uttaradit,146
Yala Province,210
Yasothon,147